phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_64f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling
5.00E-01,8192,8192,8192,OS2-accu-2,2.07E+07,8.24E-01,3.04E+02,1.45E-02,6.32E-03,6.91E-03,5.85E-04,4.44E-04
5.00E-01,8192,8192,8192,OS2-accu-3,4.84E+06,8.02E-02,2.14E+02,2.05E-02,6.71E-03,1.21E-02,9.46E-04,5.90E-04
5.00E-01,8192,8192,8192,OS2-accu-4,1.11E+05,5.15E-03,1.72E+02,2.56E-02,7.01E-03,1.64E-02,1.29E-03,6.74E-04
5.00E-01,8192,8192,8192,OS2-accu-5,1.84E+04,3.22E-04,1.46E+02,3.02E-02,7.15E-03,2.05E-02,1.58E-03,7.47E-04
5.00E-01,8192,8192,8192,OS2-accu-6,1.14E+03,2.01E-05,1.25E+02,3.51E-02,7.46E-03,2.46E-02,1.93E-03,8.21E-04
5.00E-01,8192,8192,8192,OS2-accu-7,6.19E+01,1.28E-06,1.11E+02,3.97E-02,7.66E-03,2.88E-02,2.20E-03,8.95E-04
5.00E-01,8192,8192,8192,OS2-accu-8,2.06E+00,8.01E-08,9.85E+01,4.46E-02,7.98E-03,3.29E-02,2.56E-03,9.85E-04
5.00E-01,8192,8192,8192,OS2-accu-9,3.30E-01,5.01E-09,8.91E+01,4.93E-02,8.23E-03,3.70E-02,2.82E-03,1.06E-03
5.00E-01,8192,8192,8192,OS2-accu-10,6.54E-03,3.13E-10,8.12E+01,5.41E-02,8.50E-03,4.11E-02,3.22E-03,1.13E-03
5.00E-01,8192,8192,8192,OS2-accu-11,3.25E-03,1.96E-11,7.45E+01,5.90E-02,8.87E-03,4.53E-02,3.46E-03,1.21E-03
5.00E-01,8192,8192,8192,OS2-accu-12,9.23E-05,1.22E-12,6.85E+01,6.42E-02,9.35E-03,4.95E-02,3.84E-03,1.28E-03
5.00E-01,8192,8192,8192,OS2-accu-13,6.01E-06,1.50E-13,6.36E+01,6.91E-02,9.90E-03,5.35E-02,4.10E-03,1.35E-03
5.00E-01,8192,8192,8192,OS2-accu-14,4.89E-07,9.25E-15,5.95E+01,7.40E-02,1.02E-02,5.76E-02,4.47E-03,1.42E-03
5.00E-01,8192,8192,8192,OS2-accu-15,2.37E-08,4.73E-16,5.57E+01,7.89E-02,1.06E-02,6.18E-02,4.77E-03,1.50E-03
5.00E-01,8192,8192,8192,OS2-accu-16,2.04E-09,5.11E-17,5.25E+01,8.37E-02,1.10E-02,6.58E-02,5.14E-03,1.58E-03
5.00E-01,8192,8192,8192,OS2-accu-17,7.48E-12,4.55E-17,5.00E+01,8.79E-02,1.13E-02,6.94E-02,5.35E-03,1.63E-03
5.00E-01,8192,8192,8192,OS2-accu-18,2.81E-13,4.55E-17,4.74E+01,9.28E-02,1.15E-02,7.36E-02,5.74E-03,1.70E-03
5.00E-01,8192,8192,8192,OS2-accu-19,1.11E-14,4.55E-17,4.50E+01,9.77E-02,1.20E-02,7.78E-02,5.92E-03,1.77E-03
5.00E-01,8192,8192,8192,OS2-accu-20,8.27E-16,4.55E-17,4.28E+01,1.03E-01,1.24E-02,8.19E-02,6.39E-03,1.84E-03
5.00E-01,16384,16384,16384,INT8-GEMM,,,1.19E+03,7.42E-03,,,,
5.00E-01,16384,16384,16384,ZGEMMEx,1.03E-06,4.96E-15,6.91E+01,5.09E-01,,,,
5.00E-01,16384,16384,16384,ZGEMM,1.03E-06,4.96E-15,6.90E+01,5.10E-01,,,,
5.00E-01,16384,16384,16384,OS2-fast-2,8.63E+05,1.00E+00,6.39E+02,5.50E-02,6.16E-03,4.51E-02,1.97E-03,1.54E-03
5.00E-01,16384,16384,16384,OS2-fast-3,1.18E+08,3.05E-01,3.35E+02,1.05E-01,7.18E-03,9.22E-02,3.27E-03,2.15E-03
5.00E-01,16384,16384,16384,OS2-fast-4,1.35E+07,2.13E-02,2.39E+02,1.47E-01,7.98E-03,1.31E-01,4.96E-03,2.45E-03
5.00E-01,16384,16384,16384,OS2-fast-5,1.72E+05,1.34E-03,1.93E+02,1.82E-01,8.90E-03,1.64E-01,6.22E-03,2.72E-03
